epoch,loss,lr,val_loss
0,-4.019312381744385,0.001,-4.8768486976623535
1,-5.111761569976807,0.001,-5.350887775421143
2,-5.4336256980896,0.001,-5.522563934326172
3,-5.624282360076904,0.001,-5.70829439163208
4,-5.755239486694336,0.001,-5.8233795166015625
5,-5.852939605712891,0.001,-5.928450107574463
6,-5.92777681350708,0.001,-5.982646465301514
7,-5.980147838592529,0.001,-6.020236492156982
8,-6.030111312866211,0.001,-6.046337127685547
9,-6.067765712738037,0.001,-6.0961079597473145
10,-6.109264373779297,0.001,-6.111654281616211
11,-6.139618396759033,0.001,-6.134283065795898
12,-6.166460990905762,0.001,-6.149235725402832
13,-6.191402435302734,0.001,-6.166384220123291
14,-6.210263729095459,0.001,-6.200836658477783
15,-6.225687503814697,0.001,-6.221051216125488
16,-6.252182960510254,0.001,-6.227471828460693
17,-6.262938976287842,0.001,-6.242625713348389
18,-6.278720855712891,0.001,-6.1927995681762695
19,-6.291195869445801,0.001,-6.278414726257324
20,-6.306619644165039,0.001,-6.289472579956055
21,-6.320697784423828,0.001,-6.290162563323975
22,-6.329608917236328,0.001,-6.235226631164551
23,-6.3415985107421875,0.001,-6.299145698547363
24,-6.355612754821777,0.001,-6.287032127380371
